zip|county_fips|res_ratio
65708|29109|0.3488
65710|29167|1
65711|29229|0.7787
65711|29215|0.1641
65711|29067|0.0572
65712|29109|1
65713|29225|0.8971
65713|29229|0.1029
65714|29043|0.9827
65714|29209|0.0173
65715|29153|1
65717|29229|0.7179
65717|29067|0.2821
65720|29043|0.7228
65720|29067|0.2772
65721|29043|0.9693
65721|29077|0.0307
65722|29105|0.855
65722|29059|0.145
65723|29109|0.7571
65723|29145|0.1727
65723|29009|0.0702
65724|29085|1
65725|29167|0.7294
65725|29077|0.2706
65727|29167|1
65728|29209|1
65729|29153|0.8339
65730|29119|1
65731|29213|1
65732|29085|1
65733|29213|0.5412
65733|29153|0.0135
65734|29009|1
65735|29085|0.9241
65735|29015|0.0759
65737|29209|0.9651
65737|29213|0.034
65737|29043|0.001
65738|29077|0.9798
65738|29043|0.0183
65738|29109|0.0019
65739|29213|1
65740|29213|1
65742|29077|0.4255
65742|29225|0.4127
65742|29043|0.1618
65744|29213|1
65745|29009|0.8473
65745|29119|0.1527
65746|29225|0.9069
65746|29067|0.0542
65746|29229|0.0389
65747|29009|0.6373
65747|29209|0.3627
65752|29057|0.8812
65752|29109|0.1188
65753|29043|1
65754|29043|1
65755|29067|0.7231
65755|29153|0.2769
65756|29109|1
65757|29077|0.7863
65757|29225|0.2137
65759|29213|1
65760|29153|1
65761|29153|0.8646
65761|29213|0.0403
65762|29153|1
65764|29059|1
65766|29153|1
65767|29059|0.5525
65767|29085|0.4075
65767|29167|0.04
65768|29067|1
65769|29109|0.6838
65769|29009|0.3162
65770|29077|0.6981
65770|29167|0.2448
65770|29057|0.0571
65771|29213|1
65772|29009|0.8035
65772|29119|0.1965
65773|29153|1
65774|29085|0.9106
65774|29185|0.0894
65775|29091|0.9857
65775|29067|0.0073
65775|29149|0.007
65777|29091|1
65778|29149|1
65779|29085|0.9923
65779|29015|0.0077
65781|29077|0.9718
65781|29167|0.0282
65783|29059|1
65784|29153|1
65785|29039|0.9762
65785|29185|0.022
65785|29057|0.0017
65786|29029|0.9692
65786|29059|0.0308
65787|29029|1
65788|29091|0.9595
65788|29149|0.0405
65789|29091|1
65790|29091|0.8364
65790|29153|0.1636
65791|29149|1
65793|29091|0.8407
65793|29215|0.1178
65793|29067|0.0416
65802|29077|1
65803|29077|1
65804|29077|1
65806|29077|1
65807|29077|1
65809|29077|1
65810|29077|1
72644|29213|0.008
