zip|county_fips|res_ratio
63627|29099|0.0473
63628|29187|0.9699
63628|29221|0.016
63628|29186|0.0107
63628|29099|0.0034
63629|29179|0.6531
63629|29065|0.2203
63629|29203|0.1266
63630|29221|0.9964
63630|29187|0.0036
63631|29221|0.8005
63631|29093|0.1995
63633|29179|1
63636|29093|0.8133
63636|29123|0.1108
63636|29223|0.0759
63637|29187|1
63638|29179|0.9738
63638|29203|0.0262
63640|29187|0.9359
63640|29186|0.0641
63645|29123|0.9553
63645|29187|0.0343
63645|29186|0.0104
63648|29221|0.9262
63648|29187|0.0738
63650|29093|0.8799
63650|29187|0.1054
63650|29123|0.0147
63653|29187|1
63654|29179|0.9787
63654|29093|0.0213
63655|29123|0.6641
63655|29017|0.2621
63655|29223|0.0738
63656|29093|0.7708
63656|29179|0.2292
63660|29221|1
63662|29017|1
63663|29093|1
63664|29221|1
63665|29179|1
63666|29179|1
63670|29186|1
63673|29186|0.71
63673|29157|0.2451
63674|29221|1
63675|29093|1
63701|29031|1
63703|29031|1
63730|29207|0.7846
63730|29017|0.1377
63730|29031|0.0777
63732|29157|0.5512
63732|29031|0.4488
63735|29207|0.9538
63735|29201|0.0462
63736|29201|1
63738|29207|1
63739|29031|1
63740|29201|0.8143
63740|29031|0.1857
63742|29201|1
63743|29031|1
63744|29031|1
63745|29031|1
63746|29157|1
63747|29031|1
63748|29157|1
63750|29017|1
63751|29017|1
63755|29031|1
63758|29201|1
63760|29017|1
63763|29223|1
63764|29017|0.9726
63764|29031|0.0274
63766|29031|0.8126
63766|29017|0.1874
63767|29201|1
63769|29031|1
63770|29157|0.5256
63770|29031|0.4744
63771|29201|0.9216
63771|29207|0.0719
63771|29031|0.0065
63774|29201|1
63775|29157|0.9942
63775|29031|0.0058
63780|29201|0.9997
63780|29031|0.0003
63781|29017|1
63782|29017|1
63783|29157|1
63784|29201|1
63785|29031|0.9758
63785|29017|0.0242
63787|29017|1
63801|29201|0.8753
63801|29143|0.1222
63801|29207|0.0025
63820|29133|1
63821|29069|1
63822|29207|1
63823|29133|0.9735
63823|29201|0.0265
63824|29201|1
63825|29207|1
63826|29155|1
63827|29155|1
63828|29143|1
63829|29069|1
63830|29155|1
63833|29143|0.7091
63833|29207|0.2909
63834|29133|0.9338
63834|29201|0.0662
63837|29069|1
63839|29155|1
63841|29207|1
63845|29133|0.9857
63845|29143|0.0143
63846|29207|1
63847|29069|1
63848|29143|0.9836
63848|29155|0.0164
63849|29069|0.5125
63849|29155|0.4875
63851|29155|1
63852|29069|0.9817
63852|29155|0.0183
63853|29155|1
63855|29069|1
63857|29069|1
63860|29143|1
63862|29143|1
63863|29069|0.9846
63863|29143|0.0154
63866|29143|1
63867|29143|1
63868|29143|1
63869|29143|1
63870|29143|0.8906
63870|29207|0.1094
63873|29143|0.8887
63873|29155|0.1113
63874|29143|1
63876|29069|1
63877|29155|0.9744
63877|29069|0.0256
63878|29143|1
63879|29155|1
63880|29069|1
63882|29133|1
63901|29023|0.9991
63901|29181|0.0009
63902|29023|0
63932|29023|1
63933|29069|1
63934|29223|1
63935|29181|0.9884
63935|29149|0.0093
63935|29035|0.0023
63936|29207|1
63937|29035|0.8966
63937|29023|0.0884
63937|29223|0.015
63939|29181|1
63940|29023|1
63941|29035|0.7222
63941|29149|0.2778
63942|29181|0.8102
63942|29149|0.1898
63943|29035|0.8938
63943|29181|0.1062
63944|29223|1
63945|29023|1
63951|29223|1
63952|29223|1
63953|29181|0.959
63953|29023|0.041
63954|29023|0.9546
63954|29181|0.0454
63955|29181|1
63956|29223|1
63957|29223|0.8619
63957|29179|0.1381
63960|29207|0.9567
63960|29017|0.0433
63961|29023|1
63962|29023|1
63964|29223|1
63965|29035|0.9517
63965|29179|0.0483
63966|29223|0.7549
63966|29023|0.2451
63967|29223|0.7143
63967|29023|0.2857
64001|29107|1
64011|29107|0.8862
64011|29101|0.1138
64012|29037|1
64014|29095|1
64015|29095|1
64016|29095|1
64017|29177|0.9756
64017|29107|0.0244
64018|29165|1
64019|29101|1
64020|29107|0.9346
64020|29101|0.0574
64020|29195|0.008
64021|29107|1
64022|29107|1
64024|29047|0.7926
64024|29177|0.2074
64029|29095|1
64030|29095|1
64034|29095|0.8164
64034|29037|0.1836
64035|29177|0.9887
64035|29033|0.0113
64036|29177|1
64037|29107|1
64040|29101|1
64048|29047|0.5839
64048|29049|0.4161
64050|29095|1
64052|29095|1
64053|29095|1
64054|29095|1
64055|29095|1
64056|29095|1
64057|29095|1
64058|29095|1
64060|29047|1
64061|29101|0.964
64061|29037|0.036
64062|29177|0.8098
64062|29049|0.1131
64062|29047|0.0771
64063|29095|1
64064|29095|1
64065|29095|1
64066|29095|1
64067|29107|1
64068|29047|1
64070|29095|0.9096
64070|29101|0.0904
64071|29107|1
64072|29047|1
64074|29107|1
64075|29095|0.9504
64075|29107|0.0496
64076|29107|0.9604
64076|29101|0.0396
64077|29177|0.9879
64077|29047|0.0121
64078|29037|1
64079|29165|1
64080|29037|0.9918
64080|29095|0.0082
64081|29095|1
64082|29095|0.8606
64082|29037|0.1394
64083|29037|1
64084|29177|1
64085|29177|1
64086|29095|1
64088|29095|1
64089|29047|0.885
64089|29165|0.115
64090|29037|1
64092|29165|1
64093|29101|0.9993
64093|29107|0.0007
64096|29107|1
64097|29107|1
64098|29165|1
64101|29095|1
64102|29095|0
64105|29095|1
64106|29095|1
64108|29095|1
64109|29095|1
64110|29095|1
64111|29095|1
64112|29095|1
64113|29095|1
64114|29095|1
64116|29047|1
64117|29047|1
64118|29047|0.9946
64118|29165|0.0054
64119|29047|1
64120|29095|1
64123|29095|1
64124|29095|1
64125|29095|1
64126|29095|1
64127|29095|1
64128|29095|1
64129|29095|1
64130|29095|1
64131|29095|1
64132|29095|1
64133|29095|1
64134|29095|1
64136|29095|1
64137|29095|1
64138|29095|1
64139|29095|1
64145|29095|1
64146|29095|1
64147|29095|0.8836
64147|29037|0.1164
64149|29095|1
64150|29165|1
64151|29165|1
64152|29165|1
64153|29165|1
64154|29165|1
64155|29047|1
64156|29047|1
64157|29047|1
64158|29047|1
64161|29047|1
64163|29165|1
64164|29165|1
64165|29047|1
64166|29047|1
64167|29047|1
64192|29095|1
64401|29021|1
64402|29075|1
64420|29227|1
64421|29003|1
64422|29063|1
64423|29147|1
64424|29081|1
64426|29081|1
64427|29003|0.894
64427|29147|0.106
64428|29147|0.9703
64428|29005|0.0297
64429|29049|0.6048
64429|29063|0.3025
64429|29025|0.0827
64429|29061|0.01
64430|29063|0.9244
64430|29003|0.0756
64431|29147|1
64432|29147|1
64433|29147|1
64434|29147|1
64436|29003|1
64437|29087|1
64438|29075|1
64439|29165|0.7047
64439|29021|0.2953
64440|29021|0.9695
64440|29165|0.0305
64441|29227|0.6667
64441|29075|0.3333
64442|29081|1
64443|29021|1
64444|29165|0.9399
64444|29021|0.0601
64445|29147|1
64446|29005|0.9899
64446|29087|0.0101
64448|29021|1
64449|29003|1
64451|29087|1
64453|29075|1
64454|29049|0.781
64454|29021|0.219
64455|29147|0.9628
64455|29003|0.0372
64456|29227|0.9905
64456|29081|0.0095
64457|29147|0.9108
64457|29003|0.0892
64458|29081|1
64459|29003|1
64461|29147|1
64463|29075|0.8787
64463|29063|0.0874
64463|29003|0.0339
64465|29049|0.9364
64465|29025|0.0636
64466|29087|1
64467|29081|1
64468|29147|1
64469|29063|1
64470|29087|1
64471|29081|0.943
64471|29075|0.057
64473|29087|1
64474|29063|0.7887
64474|29049|0.2113
64475|29147|0.8333
64475|29227|0.1667
64476|29147|1
64477|29049|1
64479|29147|0.94
64479|29075|0.06
64480|29003|1
64481|29081|1
64482|29005|1
64483|29003|1
64484|29021|0.8076
64484|29165|0.1924
64485|29003|1
64486|29227|0.8233
64486|29147|0.1767
64487|29147|0.9142
64487|29005|0.0466
64487|29087|0.0392
64489|29075|0.9346
64489|29147|0.0654
64490|29063|0.6723
64490|29049|0.2974
64490|29021|0.0303
64491|29005|1
64492|29049|0.8554
64492|29047|0.1446
64493|29049|1
64494|29063|0.7124
64494|29003|0.2876
64496|29005|1
64497|29063|0.6914
64497|29061|0.3086
64498|29005|1
64499|29227|0.8824
64499|29075|0.1176
64501|29021|1
64503|29021|1
64504|29021|1
64505|29021|0.734
64505|29003|0.266
64506|29021|0.9639
64506|29003|0.0361
64507|29021|1
64601|29117|1
64620|29061|1
64622|29033|1
64623|29033|1
64624|29025|0.8013
64624|29033|0.1026
64624|29177|0.0718
64624|29117|0.0244
64625|29025|0.8851
64625|29061|0.0661
64625|29117|0.0489
64628|29115|0.9851
64628|29041|0.0149
64630|29115|0.5952
64630|29211|0.4048
64631|29115|0.8058
64631|29121|0.1942
64632|29081|0.6495
64632|29129|0.3505
64633|29033|1
64635|29117|0.9139
64635|29079|0.0574
64635|29115|0.0287
64636|29061|0.9589
64636|29081|0.0411
64637|29025|0.8159
64637|29177|0.1841
64638|29117|0.7602
64638|29033|0.2398
64639|29033|1
64640|29061|1
64641|29079|0.8289
64641|29211|0.1711
64642|29081|0.7979
64642|29079|0.1284
64642|29061|0.0737
64643|29033|0.7032
64643|29117|0.2968
64644|29025|0.9375
64644|29061|0.0625
64645|29211|0.7438
64645|29129|0.2562
64646|29211|0.8895
64646|29115|0.1105
64647|29061|1
64648|29061|0.8408
64648|29079|0.1324
64648|29117|0.0267
64649|29025|0.7333
64649|29061|0.2667
64650|29025|1
64651|29115|1
64652|29079|1
64653|29115|1
64654|29061|1
64655|29171|1
64656|29117|1
64657|29075|0.6912
64657|29081|0.1961
64657|29061|0.1127
64658|29115|0.8052
64658|29041|0.1948
64659|29115|1
64660|29041|1
64661|29129|1
64664|29117|1
64667|29211|0.7897
64667|29129|0.1333
64667|29171|0.0769
64668|29033|0.8768
64668|29177|0.1232
64670|29061|0.8409
64670|29063|0.1022
64670|29075|0.0295
64670|29081|0.0275
64671|29025|0.861
64671|29177|0.139
64672|29171|1
64673|29129|1
64674|29115|1
64676|29041|1
64679|29079|0.9246
64679|29129|0.0754
64681|29041|1
64682|29033|1
64683|29079|0.9891
64683|29117|0.0109
64686|29117|1
64688|29117|0.9042
64688|29115|0.0958
64689|29061|1
64701|29037|1
64720|29013|1
64722|29013|1
64723|29013|1
64724|29185|0.8999
64724|29013|0.1001
64725|29037|0.8855
64725|29013|0.1145
64726|29083|0.911
64726|29101|0.089
64728|29217|1
64730|29013|1
64733|29101|0.8129
64733|29083|0.1871
64734|29037|1
64735|29083|0.9745
64735|29015|0.0255
64738|29185|1
64739|29037|0.8111
64739|29083|0.1889
64740|29083|0.8469
64740|29185|0.1531
64741|29217|1
64742|29037|0.7338
64742|29013|0.2662
64743|29037|1
64744|29039|0.8549
64744|29217|0.0763
64744|29185|0.0688
64745|29013|1
64746|29037|1
64747|29037|0.9322
64747|29101|0.0678
64748|29011|0.7462
64748|29057|0.131
64748|29097|0.0982
64748|29109|0.0246
64750|29217|1
64752|29013|0.7155
64752|29217|0.2845
64755|29097|0.8361
64755|29011|0.1639
64756|29039|0.8479
64756|29057|0.1521
64759|29011|0.9984
64759|29057|0.0016
64761|29101|0.9119
64761|29083|0.0881
64762|29011|1
64763|29185|1
64765|29217|1
64767|29217|1
64769|29011|1
64770|29083|0.8732
64770|29013|0.1051
64770|29185|0.0217
64771|29217|1
64772|29217|1
64776|29185|0.9796
64776|29015|0.0204
64778|29217|1
64779|29013|0.9005
64779|29217|0.0995
64780|29013|0.5942
64780|29185|0.4058
64781|29185|1
64783|29217|0.798
64783|29185|0.202
64784|29217|0.878
64784|29011|0.1114
64784|29039|0.0105
64788|29083|0.8438
64788|29013|0.1562
64790|29217|1
64801|29097|1
64804|29097|0.5771
64804|29145|0.4229
64830|29097|1
64831|29119|1
64832|29097|0.781
64832|29011|0.219
64833|29097|1
64834|29097|1
64835|29097|1
64836|29097|1
64840|29145|0.8921
64840|29097|0.1079
64841|29097|1
64842|29145|0.9599
64842|29009|0.0401
64843|29119|0.8895
64843|29145|0.1105
64844|29145|1
64847|29119|1
64848|29109|0.7621
64848|29097|0.2379
64849|29097|1
64850|29145|0.9961
64850|29119|0.0039
64854|29119|1
64855|29097|0.9601
64855|29011|0.0399
64856|29119|1
64857|29097|1
64858|29145|1
64859|29097|1
64861|29119|0.9515
64861|29145|0.0485
64862|29097|0.8238
64862|29145|0.1259
64862|29109|0.0502
64863|29119|1
64865|29145|0.9258
64865|29119|0.0742
64866|29145|1
64867|29119|0.5795
64867|29145|0.4205
64870|29097|1
64873|29109|0.5442
64873|29145|0.4558
64874|29009|1
65001|29151|0.7672
65001|29125|0.2328
65010|29019|1
65011|29141|0.9774
65011|29135|0.0226
65013|29125|0.7222
65013|29151|0.2778
65014|29073|0.7653
65014|29151|0.2092
65014|29125|0.0255
65016|29151|1
65017|29131|0.9127
65017|29029|0.0873
65018|29135|0.9818
65018|29053|0.0182
65020|29029|1
65023|29051|0.8537
65023|29135|0.1463
65024|29151|1
65025|29135|0.733
65025|29053|0.267
65026|29131|0.9968
65026|29141|0.0032
65032|29131|0.5028
65032|29051|0.4972
65034|29141|0.5132
65034|29135|0.4868
65035|29151|1
65037|29141|0.7718
65037|29029|0.2282
65039|29019|0.9503
65039|29027|0.0497
65040|29051|0.8754
65040|29131|0.1246
65041|29073|0.8762
65041|29139|0.1031
65041|29219|0.0207
65043|29027|1
65046|29135|1
65047|29131|0.6534
65047|29029|0.3466
65048|29151|1
65049|29029|0.7799
65049|29131|0.2201
65050|29135|1
65051|29151|0.9963
65051|29073|0.0037
65052|29029|1
65053|29051|1
65054|29151|1
65058|29125|0.4938
65058|29151|0.3292
65058|29131|0.1542
65058|29051|0.0229
65059|29027|1
65061|29073|0.7678
65061|29151|0.2322
65062|29073|0.5789
65062|29151|0.4211
65063|29027|1
65064|29131|1
65065|29029|0.9763
65065|29131|0.0237
65066|29073|0.9598
65066|29055|0.0402
65067|29027|1
65068|29053|1
65069|29139|0.9169
65069|29027|0.0831
65072|29141|0.8504
65072|29131|0.1496
65074|29051|0.7009
65074|29135|0.2991
65075|29131|1
65076|29051|0.7651
65076|29151|0.2349
65077|29027|1
65078|29141|0.9951
65078|29015|0.0049
65079|29029|0.9312
65079|29141|0.066
65079|29131|0.0028
65080|29027|1
65081|29135|0.9361
65081|29141|0.0324
65081|29053|0.0316
65082|29131|1
65083|29131|1
65084|29141|0.9963
65084|29135|0.0037
65085|29151|1
65101|29051|0.9902
65101|29151|0.0093
65101|29027|0.0005
65109|29051|1
65201|29019|0.998
65201|29027|0.002
65202|29019|0.989
65202|29027|0.011
65203|29019|1
65215|29019|0
65230|29089|0.8963
65230|29175|0.1037
65231|29027|1
65232|29007|1
65233|29053|1
65236|29041|1
65237|29053|1
65239|29175|1
65240|29019|0.8274
65240|29007|0.1587
65240|29027|0.0114
65240|29137|0.0025
65243|29175|0.5286
65243|29019|0.2334
65243|29007|0.174
65243|29089|0.0494
65243|29137|0.0146
65244|29175|1
65246|29041|1
65247|29121|1
65248|29089|1
65250|29089|1
65251|29027|1
65254|29089|0.9209
65254|29041|0.0791
65255|29019|1
65256|29019|0.8601
65256|29089|0.1399
65257|29175|0.7845
65257|29089|0.2155
65258|29137|1
65259|29175|1
65260|29175|0.8656
65260|29121|0.0751
65260|29137|0.0593
65261|29041|1
65262|29027|1
65263|29137|0.9798
65263|29175|0.0202
65264|29007|0.8576
65264|29027|0.1424
65265|29007|0.9936
65265|29137|0.0064
65270|29175|0.9971
65270|29137|0.0029
65274|29089|1
65275|29137|1
65276|29053|1
65278|29175|1
65279|29019|0.8878
65279|29089|0.1122
65280|29007|1
65281|29041|1
65282|29137|1
65283|29137|1
65284|29019|0.9663
65284|29007|0.0337
65285|29007|1
65286|29041|1
65287|29053|0.8009
65287|29135|0.1991
65301|29159|1
65305|29101|1
65320|29195|1
65321|29195|0.925
65321|29107|0.075
65322|29053|1
65323|29083|1
65324|29029|1
65325|29015|1
65326|29015|0.5862
65326|29029|0.4138
65327|29195|0.6
65327|29107|0.4
65329|29141|1
65330|29195|1
65332|29159|0.9879
65332|29101|0.0121
65333|29159|0.8624
65333|29195|0.1376
65334|29159|1
65335|29015|0.7549
65335|29159|0.2451
65336|29101|0.99
65336|29159|0.01
65337|29159|1
65338|29015|1
65339|29195|1
65340|29195|0.9957
65340|29159|0.0043
65344|29195|1
65345|29159|0.4724
65345|29015|0.319
65345|29141|0.2086
65347|29195|0.7941
65347|29159|0.1147
65347|29053|0.0912
65348|29053|0.8107
65348|29141|0.1893
65349|29195|1
65350|29159|0.9245
65350|29141|0.0755
65351|29195|0.9321
65351|29159|0.0619
65351|29101|0.006
65354|29141|0.9361
65354|29053|0.0639
65355|29015|0.9973
65355|29085|0.0027
65360|29083|0.7704
65360|29159|0.0948
65360|29015|0.0791
65360|29101|0.0557
65401|29161|0.9733
65401|29065|0.0171
65401|29125|0.0096
65436|29161|1
65438|29203|0.8339
65438|29149|0.1661
65439|29093|1
65440|29065|0.6426
65440|29179|0.3574
65441|29055|0.9458
65441|29221|0.0513
65441|29071|0.0029
65443|29125|1
65444|29215|1
65446|29055|1
65449|29055|0.844
65449|29161|0.156
65452|29169|0.9745
65452|29131|0.0255
65453|29055|0.9864
65453|29073|0.0136
65456|29055|1
65457|29169|1
65459|29169|0.7095
65459|29125|0.2403
65459|29131|0.0344
65459|29161|0.0158
65461|29161|0.5769
65461|29169|0.4231
65462|29161|0.9117
65462|29065|0.0883
65463|29105|0.9603
65463|29059|0.0251
65463|29029|0.0146
65464|29215|1
65466|29203|1
65468|29215|1
65470|29105|0.8728
65470|29229|0.1272
65473|29169|1
65479|29215|0.5275
65479|29203|0.4725
65483|29215|1
65484|29215|1
65486|29131|1
65501|29065|1
65529|29161|1
65534|29169|0.9513
65534|29105|0.0487
65535|29055|1
65536|29105|0.9856
65536|29059|0.0129
65536|29029|0.0016
65541|29065|1
65542|29215|0.9662
65542|29065|0.0338
65543|29105|0.6033
65543|29229|0.3967
65548|29091|0.8962
